order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1477288,47879,El Parador Cafe,Mexican,13.19,Weekday,5,22,28
1477822,61588,Blue Ribbon Sushi,Japanese,5.82,Weekend,Not given,34,27
1477776,115213,Tamarind TriBeCa,Indian,29.39,Weekend,5,30,25
1478152,304708,Parm,Italian,5.92,Weekend,3,21,25
1477378,115610,Tamarind TriBeCa,Indian,12.13,Weekend,Not given,35,20
1477114,47594,Dos Caminos,Mexican,12.18,Weekday,5,24,30
1478167,88078,RedFarm Hudson,Chinese,12.23,Weekday,Not given,20,25
1478073,121686,TAO,Japanese,24.25,Weekend,4,22,21
1477655,96666,Empanada Mama (closed),Mexican,19.35,Weekend,5,29,22
1477594,47440,Bareburger,American,12.18,Weekday,3,25,24
1478175,349676,Sarabeth's,American,29.3,Weekend,5,23,17
1478066,156218,RedFarm Hudson,Chinese,15.23,Weekend,5,31,16
1478284,139885,Blue Ribbon Fried Chicken,American,8.2,Weekend,5,34,17
1477578,385150,Blue Ribbon Sushi,Japanese,12.18,Weekend,4,27,16
1478312,398952,Han Dynasty,Chinese,13.78,Weekend,5,27,20
1477737,104548,Tarallucci e Vino Restaurant,Italian,11.59,Weekend,Not given,21,15
1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32
1477801,268365,Zero Otto Nove,Italian,12.18,Weekday,4,29,25
1477931,403833,Room Service,Thai,6.69,Weekday,Not given,25,32
1476715,365244,Bareburger,American,16.3,Weekday,Not given,20,28
1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29
1478160,52832,Donburi-ya,Japanese,15.86,Weekday,5,28,28
1477189,54630,V-Nam Cafe,Vietnamese,22.26,Weekend,5,33,26
1478039,292343,Amy Ruth's,Southern,12.23,Weekday,Not given,32,33
1478030,131093,Bareburger,American,13.77,Weekend,3,33,29
1476741,318095,Blue Ribbon Sushi Izakaya,Japanese,6.79,Weekend,5,32,30
1476717,151191,Pongsri Thai,Thai,20.18,Weekday,Not given,23,25
1477052,35993,Mira Sushi,Japanese,11.79,Weekend,Not given,32,26
1477096,158578,Xi'an Famous Foods,Chinese,14.12,Weekday,3,24,31
1477403,87603,The Meatball Shop,American,6.69,Weekend,4,27,27
1478349,229946,Balthazar Boulangerie,French,21.39,Weekend,Not given,35,29
1477427,291891,The Kati Roll Company,Indian,17.03,Weekend,5,24,22
1478252,94167,Dos Caminos,Mexican,22.36,Weekend,Not given,30,26
1477503,99621,Westville Hudson,American,24.3,Weekend,Not given,32,15
1478353,369809,Momoya,Japanese,12.23,Weekday,3,32,24
1477892,196320,Parm,Italian,25.17,Weekday,4,33,32
1477647,359228,Yama Japanese Restaurant,Japanese,9.27,Weekend,Not given,23,29
1477719,367051,RedFarm Hudson,Chinese,15.04,Weekend,3,35,25
1477550,97324,Shake Shack,American,29.05,Weekday,4,27,29
1478137,209418,Izakaya Ten,Japanese,13.05,Weekend,3,34,23
1477625,106860,Sushi of Gari Tribeca,Japanese,17.03,Weekday,Not given,35,30
1478264,70564,Jack's Wife Freda,Mediterranean,16.15,Weekday,5,22,24
1476879,259341,Blue Ribbon Fried Chicken,American,8.39,Weekend,4,26,17
1476612,115610,Delicatessen,American,12.18,Weekend,Not given,24,17
1477997,186473,Blue Ribbon Sushi Izakaya,Japanese,12.23,Weekend,3,34,25
1476734,148327,Shake Shack,American,33.03,Weekday,Not given,31,28
1477854,58025,Tamarind TriBeCa,Indian,11.64,Weekend,Not given,33,23
1478035,178846,Blue Ribbon Fried Chicken,American,10.14,Weekend,4,21,17
1477796,40745,Parm,Italian,15.91,Weekday,Not given,32,28
1478210,320493,Vanessa's Dumplings,Chinese,29.2,Weekday,Not given,27,30
1477994,127130,Momoya,Japanese,9.55,Weekend,5,30,26
1478329,116992,Tres Carnes,Mexican,33.32,Weekday,4,21,33
1476815,39029,Prosperity Dumpling,Chinese,13.63,Weekend,5,25,24
1478078,54608,Tamarind TriBeCa,Indian,22.26,Weekend,5,34,15
1477168,352130,TAO,Japanese,12.08,Weekend,Not given,24,30
1477280,377274,RedFarm Broadway,Chinese,14.07,Weekend,3,34,17
1476761,64153,Blue Ribbon Fried Chicken,American,24.25,Weekday,5,33,30
1478233,264707,TAO,Japanese,12.08,Weekday,3,24,26
1476705,260680,Cafe Mogador,Middle Eastern,5.77,Weekend,3,20,16
1477906,66012,Sushi of Gari Tribeca,Japanese,19.02,Weekend,5,27,29
1477084,283051,Shake Shack,American,6.69,Weekday,5,26,32
1476952,229946,Balthazar Boulangerie,French,15.52,Weekend,Not given,21,29
1477872,300670,Shake Shack,American,13.39,Weekend,Not given,30,22
1478373,40808,V-Nam Cafe,Vietnamese,6.01,Weekday,3,20,31
1477743,104130,Blue Ribbon Sushi,Japanese,6.64,Weekend,Not given,23,15
1477772,91958,TAO,Japanese,12.18,Weekday,Not given,26,33
1477302,52832,Don's Bogam BBQ & Wine Bar,Korean,12.23,Weekend,Not given,32,20
1476862,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24
1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28
1477963,115519,Blue Ribbon Fried Chicken,American,12.23,Weekend,5,27,27
1476728,250494,Bubby's ,American,24.25,Weekend,Not given,34,28
1477480,75722,Yama 49,Japanese,22.31,Weekend,5,29,17
1477186,291891,The Kati Roll Company,Indian,11.64,Weekend,4,34,18
1477310,38612,Vanessa's Dumplings,Chinese,6.7,Weekend,5,20,17
1476907,87006,Nobu Next Door,Japanese,5.67,Weekday,5,33,25
1476917,58675,Big Daddy's,American,14.84,Weekend,5,32,22
1476804,113477,Schnipper's Quality Kitchen,American,12.18,Weekend,Not given,31,22
1478022,94152,Empanada Mama (closed),Mexican,11.88,Weekend,5,23,27
1476577,100778,The Meatball Shop,Italian,12.18,Weekend,Not given,25,28
1477353,106324,The Meatball Shop,Italian,16.2,Weekend,5,21,26
1476824,259341,Momoya,Japanese,19.4,Weekend,4,27,16
1477304,88406,The Meatball Shop,Italian,24.2,Weekday,4,28,30
1478158,232035,Balade,Middle Eastern,9.22,Weekday,5,25,24
1477546,67162,Shake Shack,American,14.07,Weekday,4,24,28
1477833,27609,Shake Shack,American,15.57,Weekday,Not given,28,30
1476718,35643,Vanessa's Dumpling House,Chinese,14.84,Weekend,5,31,24
1477347,66636,Shake Shack,American,20.52,Weekend,Not given,31,26
1476775,66636,Shake Shack,American,29.1,Weekday,5,29,31
1478303,72639,Sushi of Gari,Japanese,10.72,Weekday,Not given,30,26
1477506,283831,Blue Ribbon Sushi Bar & Grill,Japanese,13.05,Weekday,5,22,28
1477615,136876,Rubirosa,Italian,14.07,Weekend,5,35,16
1476801,104130,Ravagh Persian Grill,Middle Eastern,14.07,Weekday,5,34,33
1477620,148320,Tamarind TriBeCa,Indian,16.49,Weekday,Not given,31,28
1476892,177078,Lantern Thai Kitchen,Thai,21.93,Weekday,Not given,22,25
1477307,141732,Cho Dang Gol,Korean,5.77,Weekend,5,21,17
1477652,99393,Parm,Italian,10.14,Weekday,Not given,24,28
1477675,76907,Han Dynasty,Chinese,7.23,Weekend,5,21,18
1478014,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16
1476703,405334,TAO,Japanese,25.22,Weekend,Not given,26,16
1478121,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26
1476780,319773,Vezzo Thin Crust Pizza,Italian,12.13,Weekend,5,34,26
1477024,68154,Nobu Next Door,Japanese,12.18,Weekend,5,32,23
1476759,268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20
1478332,146456,Five Guys Burgers and Fries,American,12.18,Weekend,Not given,22,26
1477315,176622,Cafe Mogador,Middle Eastern,15.91,Weekend,5,32,15
1477898,68248,J. G. Melon,American,10.43,Weekday,5,35,29
1478007,113238,Boqueria,Spanish,24.25,Weekend,Not given,28,18
1478037,97346,da Umberto,Italian,7.61,Weekend,Not given,23,26
1478150,97806,Shake Shack,American,25.22,Weekend,4,35,27
1477724,80531,RedFarm Hudson,Chinese,12.18,Weekend,Not given,24,27
1477939,41040,The Meatball Shop,Italian,15.91,Weekend,Not given,26,20
1477295,140530,Sushi of Gari 46,Japanese,12.13,Weekend,Not given,25,29
1477241,42828,Jack's Wife Freda,Mediterranean,14.12,Weekday,5,25,25
1477950,301032,Blue Ribbon Fried Chicken,American,16.44,Weekend,4,24,16
1478439,48444,TAO,Japanese,8.54,Weekend,4,26,23
1477551,277898,Blue Ribbon Fried Chicken,American,29.44,Weekend,4,33,27
1477409,146588,Shake Shack,American,9.07,Weekday,3,35,26
1476711,106968,Blue Ribbon Fried Chicken,American,8.78,Weekend,Not given,22,26
1477217,139639,Sushi of Gari 46,Japanese,29.15,Weekday,Not given,32,32
1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16
1478281,58898,Blue Ribbon Sushi,Japanese,16.93,Weekend,4,30,25
1476652,232035,ilili Restaurant,Middle Eastern,8.97,Weekend,Not given,24,19
1478015,364714,Nobu Next Door,Japanese,8.97,Weekday,Not given,22,31
1476964,81405,RedFarm Broadway,Chinese,24.25,Weekend,5,29,22
1478311,326505,Blue Ribbon Fried Chicken,American,21.29,Weekend,5,28,29
1477120,285774,Blue Ribbon Sushi,Japanese,6.79,Weekday,5,21,29
1477971,210544,DespaÌ±a,Spanish,16.98,Weekend,Not given,20,22
1477041,52832,Junoon,Indian,25.17,Weekday,Not given,23,24
1476664,164016,Blue Ribbon Fried Chicken,American,24.3,Weekday,5,20,27
1478173,91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26
1476878,378027,RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16
1478406,129122,Sarabeth's East,American,12.13,Weekend,Not given,34,30
1477328,342126,Parm,Italian,13.68,Weekend,4,33,21
1478261,106940,Parm,Italian,9.07,Weekday,4,23,30
1478316,118975,Shake Shack,American,12.23,Weekend,Not given,20,27
1476830,361509,Cafeteria,American,17.03,Weekend,Not given,34,20
1477006,119465,Cafe Mogador,Middle Eastern,25.27,Weekday,5,30,25
1478294,390459,Shake Shack,American,12.18,Weekend,Not given,35,29
1476855,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24
1476716,37982,Saravanaa Bhavan,Indian,15.52,Weekday,5,33,26
1478429,355090,Shake Shack,American,22.85,Weekend,5,24,23
1476731,94480,TAO,Japanese,29.1,Weekend,Not given,28,23
1477704,100999,Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27
1477681,225912,12 Chairs,Middle Eastern,16.3,Weekday,4,27,26
1476590,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20
1478095,183520,Blue Ribbon Sushi,Japanese,12.18,Weekend,4,30,17
1477023,99288,Boqueria,Spanish,12.13,Weekday,Not given,33,28
1477828,360844,Tamarind TriBeCa,Indian,8.59,Weekday,5,32,31
1476656,124596,RedFarm Hudson,Chinese,29.1,Weekday,Not given,27,26
1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21
1477301,232035,Blue Ribbon Fried Chicken,American,12.18,Weekend,4,22,29
1477101,81828,The Meatball Shop,American,14.55,Weekend,5,21,30
1477707,133330,Blue Ribbon Fried Chicken,American,25.27,Weekend,5,29,28
1477289,72322,Cafe Mogador,Middle Eastern,12.95,Weekend,3,21,20
1477733,376499,Lucky Strike,American,29.25,Weekend,4,21,21
1477834,22405,The Meatball Shop,Italian,20.18,Weekend,4,32,26
1477434,77857,Shake Shack,American,29.15,Weekend,5,20,21
1477573,58898,RedFarm Broadway,Chinese,21.39,Weekend,5,23,24
1478369,243341,Sushi Samba,Japanese,22.36,Weekend,5,31,30
1477988,82041,Parm,Italian,16.44,Weekend,4,23,22
1478355,68103,The Meatball Shop,Italian,21.83,Weekend,4,30,20
1478051,139639,Sushi of Gari 46,Japanese,24.3,Weekend,3,29,23
1478420,104355,Momoya,Japanese,15.81,Weekend,5,25,15
1477223,303548,J. G. Melon,American,22.26,Weekend,5,22,25
1477076,68834,Sushi of Gari 46,Japanese,31.43,Weekend,5,29,30
1476946,103526,Burger Joint,American,9.02,Weekday,5,24,29
1477501,151191,RedFarm Hudson,Chinese,12.18,Weekend,5,34,24
1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30
1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28
1476982,47440,Bareburger,American,8.73,Weekend,5,21,19
1477095,196355,Shake Shack,American,13.1,Weekday,Not given,20,28
1477914,366975,Blue Ribbon Sushi Bar & Grill,Japanese,16.39,Weekend,Not given,31,18
1478179,52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27
1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16
1478330,109419,The Meatball Shop,Italian,11.69,Weekend,Not given,30,21
1477611,130820,Nobu Next Door,Japanese,15.13,Weekday,Not given,21,30
1478343,231042,Momoya,Japanese,8.54,Weekday,4,28,29
1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23
1477239,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18
1477614,255697,Sushi Samba,Japanese,14.02,Weekend,Not given,30,29
1477090,54081,Osteria Morini,Italian,9.22,Weekday,4,29,33
1477440,127934,Blue Ribbon Fried Chicken,American,12.52,Weekday,4,24,31
1477600,347263,Hangawi,Korean,6.74,Weekend,Not given,21,22
1477534,155124,The Meatball Shop,Italian,9.22,Weekend,Not given,30,19
1476813,261665,Han Dynasty,Chinese,7.71,Weekend,5,22,18
1477946,81152,Hill Country Fried Chicken,Southern,14.12,Weekend,5,25,15
1477643,139827,RedFarm Hudson,Chinese,5.77,Weekend,4,33,28
1478242,372276,Pinto Nouveau Thai Bistro,Thai,24.2,Weekend,5,29,15
1477572,150865,Vanessa's Dumpling House,Chinese,15.52,Weekend,5,20,23
1478120,47440,Blue Ribbon Fried Chicken,American,8.1,Weekend,Not given,33,22
1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23
1477619,75251,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,27,21
1478192,54365,Shake Shack,American,16.25,Weekend,5,27,23
1476981,138586,Shake Shack,American,5.82,Weekend,Not given,22,28
1477166,402215,RedFarm Hudson,Chinese,21.29,Weekend,4,32,25
1476877,53289,The Loop,Japanese,4.66,Weekend,Not given,34,25
1478426,124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24
1477921,97079,Benihana,Japanese,29.29,Weekend,5,20,18
1476724,130956,Blue Ribbon Sushi,Japanese,21.83,Weekday,3,21,26
1477406,154022,Blue Ribbon Sushi Bar & Grill,Japanese,16.74,Weekend,4,22,20
1476582,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25
1478245,52832,Junoon,Indian,29.49,Weekend,5,23,17
1477192,374286,Vanessa's Dumpling House,Chinese,5.92,Weekday,Not given,30,32
1477092,144851,Benihana,Japanese,16.11,Weekend,Not given,25,29
1476735,369272,Blue Ribbon Sushi Bar & Grill,Japanese,11.69,Weekday,5,21,28
1476595,385150,Blue Ribbon Sushi,Japanese,14.02,Weekend,Not given,35,16
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25
1477071,78939,Nobu Next Door,Japanese,29.05,Weekend,5,33,29
1476827,148649,Blue Ribbon Sushi,Japanese,6.74,Weekend,Not given,31,27
1476645,140477,Serafina Fabulous Pizza,Italian,13.68,Weekend,5,20,20
1476928,58205,The Meatball Shop,Italian,24.3,Weekend,Not given,33,21
1477809,148499,Posto,Italian,24.25,Weekend,Not given,23,25
1477259,145952,Blue Ribbon Sushi,Japanese,29.15,Weekend,4,31,19
1477245,375585,TAO,Japanese,24.25,Weekend,Not given,31,27
1477345,339144,The Meatball Shop,Italian,5.05,Weekend,Not given,29,19
1477729,355713,RedFarm Broadway,Chinese,14.26,Weekend,Not given,28,24
1477589,214028,Boqueria,Spanish,29.05,Weekend,4,24,24
1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20
1477268,375585,TAO,Japanese,6.69,Weekend,5,22,28
1476568,348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28
1477416,123977,Vezzo Thin Crust Pizza,Italian,22.26,Weekday,Not given,22,32
1478260,41991,Blue Ribbon Sushi Bar & Grill,Japanese,12.37,Weekend,Not given,21,16
1478090,62359,Blue Ribbon Sushi Izakaya,Japanese,16.01,Weekday,5,23,27
1478236,121905,Chipotle Mexican Grill $1.99 Delivery,Mexican,22.26,Weekend,4,21,21
1477452,107240,Shake Shack,American,8.34,Weekend,5,21,30
1477082,107909,ilili Restaurant,Middle Eastern,24.2,Weekday,4,34,24
1476755,331143,Waverly Diner,American,11.59,Weekend,Not given,25,22
1477705,60397,Jack's Wife Freda,Mediterranean,12.18,Weekend,3,33,23
1476603,48677,Shake Shack,American,12.95,Weekend,Not given,32,19
1477525,52360,TAO,Japanese,24.3,Weekend,Not given,24,22
1478116,378482,Five Guys Burgers and Fries,American,5.72,Weekday,Not given,22,24
1477774,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20
1476812,83287,Shake Shack,American,9.02,Weekday,4,23,27
1478241,60052,RedFarm Broadway,Chinese,24.2,Weekend,5,31,19
1477723,368663,Shake Shack,American,12.18,Weekend,4,23,28
1476959,65007,Serafina Fabulous Pizza,Italian,19.5,Weekday,5,22,33
1476709,105837,Nobu Next Door,Japanese,11.11,Weekend,Not given,25,30
1478213,122092,Han Dynasty,Chinese,22.31,Weekend,3,23,29
1477632,76942,Sarabeth's Restaurant,American,29.15,Weekday,Not given,20,26
1477817,335897,Sushi of Gari 46,Japanese,12.18,Weekday,4,24,27
1477745,59017,TAO,Japanese,12.66,Weekday,Not given,29,29
1478096,146211,Yama Japanese Restaurant,Japanese,12.08,Weekday,Not given,25,33
1477162,42755,Blue Ribbon Fried Chicken,American,15.72,Weekend,4,25,19
1476594,94480,TAO,Japanese,12.17,Weekend,5,22,16
1477012,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19
1477312,269793,Dirty Bird To Go (archived),American,8.54,Weekend,Not given,32,30
1477272,143984,The Smile,American,12.27,Weekday,Not given,32,24
1477878,62730,Westville Hudson,American,21.88,Weekend,5,20,15
1477148,385406,The Meatball Shop,Italian,11.59,Weekday,Not given,21,30
1478088,77540,Nobu Next Door,Japanese,9.7,Weekend,5,30,29
1477846,52574,Blue Ribbon Sushi,Japanese,24.25,Weekday,5,30,26
1478208,371590,The Meatball Shop,Italian,29.15,Weekend,5,29,27
1477519,140477,Momoya,Japanese,31.43,Weekend,Not given,24,17
1477990,59673,Rubirosa,Italian,12.95,Weekend,4,30,25
1478415,105665,Blue Ribbon Sushi Bar & Grill,Japanese,12.56,Weekday,Not given,32,27
1478016,154471,Yama Japanese Restaurant,Japanese,9.65,Weekend,5,24,16
1477303,92768,Sushi of Gari 46,Japanese,19.35,Weekday,Not given,28,24
1477286,110091,The Meatball Shop,Italian,12.18,Weekend,Not given,27,17
1477886,241310,Blue Ribbon Sushi,Japanese,32.93,Weekday,3,34,31
1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23
1477565,65009,Blue Ribbon Fried Chicken,American,12.56,Weekday,5,27,27
1477792,270525,The Smile,American,8.39,Weekday,Not given,20,31
1477571,121476,Blue Ribbon Fried Chicken,American,16.2,Weekend,Not given,32,23
1476683,263075,Burger Joint,American,12.23,Weekday,Not given,21,27
1477720,215219,Empanada Mama (closed),Mexican,19.98,Weekday,4,23,32
1477088,129486,Mamoun's Falafel,Mediterranean,12.61,Weekend,4,21,17
1476944,105614,Terakawa Ramen,Japanese,8.54,Weekday,3,27,25
1478250,369272,Blue Ribbon Sushi,Japanese,12.22,Weekend,Not given,34,28
1478091,369272,Blue Ribbon Sushi Bar & Grill,Japanese,15.81,Weekday,Not given,21,29
1478395,283052,Han Dynasty,Chinese,13.0,Weekend,4,32,22
1477597,49010,Shake Shack,American,24.25,Weekend,5,34,24
1477775,142461,Shake Shack,American,29.25,Weekend,4,25,19
1477460,134058,The Meatball Shop,Italian,12.08,Weekday,5,33,25
1477396,140998,Boqueria,Spanish,13.0,Weekend,5,26,24
1477759,68551,Blue Ribbon Sushi Bar & Grill,Japanese,12.13,Weekend,Not given,21,29
1477331,384390,El Parador Cafe,Mexican,24.2,Weekend,Not given,28,18
1478278,42755,Blue Ribbon Fried Chicken,American,13.0,Weekend,Not given,29,30
1478119,276192,Sushi of Gari Tribeca,Japanese,10.86,Weekday,4,28,28
1476900,240014,Sarabeth's,American,32.93,Weekday,4,33,33
1477049,175101,TAO,Japanese,9.65,Weekend,4,25,18
1476854,47440,Blue Ribbon Fried Chicken,American,6.45,Weekend,4,30,24
1477394,105754,Momoya,Japanese,14.02,Weekday,4,24,30
1477682,35432,TAO,Japanese,14.99,Weekend,Not given,24,21
1478227,367591,Taro Sushi,Japanese,16.05,Weekday,5,35,32
1476956,55220,Saravanaa Bhavan,Indian,12.13,Weekday,Not given,32,26
1477786,145389,RedFarm Hudson,Chinese,4.75,Weekend,3,23,25
1476569,55334,Sushi of Gari Tribeca,Japanese,9.85,Weekend,Not given,26,17
1477494,300003,Crema Restaurante,Mexican,15.86,Weekend,Not given,31,30
1476666,205241,Shake Shack,American,6.07,Weekday,4,23,27
1477715,217363,Jack's Wife Freda,Mediterranean,9.41,Weekend,5,28,15
1476662,115213,Tamarind TriBeCa,Indian,12.18,Weekend,5,25,20
1477969,69516,Wa Jeal,Chinese,6.74,Weekend,Not given,32,24
1477030,240982,Rubirosa,Italian,24.3,Weekday,3,29,31
1476651,58092,Shake Shack,American,8.0,Weekend,5,27,23
1477875,154022,Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,5,22,18
1478279,354016,Waverly Diner,American,19.4,Weekend,5,25,23
1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28
1476802,318451,Blue Ribbon Sushi,Japanese,14.02,Weekend,4,23,18
1477548,79255,The Meatball Shop,Italian,12.95,Weekday,4,29,24
1476920,36118,RedFarm Broadway,Chinese,12.13,Weekend,4,20,19
1477680,353606,P.J. Clarke's,American,15.62,Weekday,5,27,32
1478194,67937,Shake Shack,American,15.52,Weekend,5,22,17
1476758,120504,Schnipper's Quality Kitchen,American,14.02,Weekend,5,20,16
1477360,91907,Sarabeth's Restaurant,American,12.08,Weekend,Not given,28,26
1477063,317446,The Meatball Shop,Italian,19.4,Weekend,5,28,30
1476616,348096,Parm,Italian,31.43,Weekday,5,28,25
1477992,65589,Blue Ribbon Sushi Izakaya,Japanese,19.45,Weekday,5,33,32
1477608,125123,Le Grainne Cafe,French,15.96,Weekend,4,25,22
1478285,113817,Blue Ribbon Fried Chicken,American,12.18,Weekend,4,32,22
1478181,97079,Benihana,Japanese,25.22,Weekday,4,27,27
1477769,129798,TAO,Japanese,8.05,Weekday,Not given,26,31
1477116,126730,The Kati Roll Company,Indian,24.2,Weekend,5,26,16
1477377,198802,DuMont Burger,American,12.56,Weekend,Not given,35,19
1478155,5693,The Meatball Shop,Italian,8.3,Weekday,Not given,29,32
1478045,97420,Yama 49,Japanese,31.33,Weekend,5,21,27
1477835,129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29
1478361,371117,Shake Shack,American,29.1,Weekend,5,26,24
1478411,361846,RedFarm Broadway,Chinese,6.69,Weekend,Not given,27,24
1478399,264399,Han Dynasty,Chinese,29.15,Weekday,Not given,20,24
1478314,338599,Yama Japanese Restaurant,Japanese,12.18,Weekday,Not given,30,25
1477947,78560,The Meatball Shop,Italian,12.18,Weekend,3,27,20
1478422,197832,The Meatball Shop,Italian,14.84,Weekend,Not given,20,28
